tipo,codigo_division,nombre_division,row_hash
Producto,10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",0e320d9377cc7cb49d0a084736f83ca9383a161bd739f531a97aa3912d8e96c7
Producto,11,"Material Mineral, Textil y Vegetal y Animal No Comestible",7def6137f7cbbc6476b82e72befc6d74da518275c6b00a682f9fd51e9e729394
Producto,12,Material Químico incluyendo Bioquímicos y Materiales de Gas,5d7dd45d192ff5f0fe5297253518d9b529a10b2113a9cf065c1bdd6158334ae7
Producto,13,"Materiales de Resina, Colofonia, Caucho, Espuma, Película y Elastómericos",1c9dda9db67f8e19816c162d3886c7561c9f89cad24206eed19a362216ba137f
Producto,14,Materiales y Productos de Papel,56010400966143eddeddff0f971407f3aa2a5e888cad0243573f4b6950d8e040
Producto,15,"Materiales Combustibles, Aditivos para Combustibles, Lubricantes y Anticorrosivos",4cadd828bd7592bea5cc2b06bd71b090de7413561e81f539289d9a31190d63c9
Producto,20,Maquinaria y Accesorios de Minería y Perforación de Pozos,f71caaa84361da4c7474b444d7d588ee12d59095bc58a4c757e5b5c5d7249160
Producto,21,"Maquinaria y Accesorios para Agricultura, Pesca, Silvicultura y Fauna",eda2f907b743db1b511f947a0d3bd2cef352601ea940838d4bc7b534ef54accb
Producto,22,Maquinaria y Accesorios para Construcción y Edificación,9e0fd3de39d5f2767234f347066ef34790581e7a89a1883c740db734607295b3
Producto,23,Maquinaria y Accesorios para Manufactura y Procesamiento Industrial,f089fb8d0c2cc3ff173427fbfb8d0af200865d8d7802609f789c3e1c680f6cb4
Producto,24,"Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales",79aa1fcbeaaff7faf12de9f03920a51b8717a380cdc5fcf4d42ac82b25d97a00
Producto,25,"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes",be2d958c70121a7dd679dbd8a8b6b73eb4ee9f139b320f34ec22048a9f38eedc
Producto,26,Maquinaria y Accesorios para Generación y Distribución de Energía,9bdaa39174bfbcdedb004d8218b131a4deb390ecc934ac8bd13cb9a595584777
Producto,27,Herramientas y Maquinaria General,ac53feba7e0f937b4bbce2d1873bfb87e88c3c4360364fa789f533a139082db7
Producto,30,"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles",d75d06df8bf00644edb35936570f32979f087daf81fcbcfc3655dd39988fec9e
Producto,31,Componentes y Suministros de Manufactura,e5d6df5bab36b34fbc07ffa0523f5d9c27496c8d8980c13b7f17ba4ab6896d09
Producto,32,Componentes y Suministros Electrónicos,dc17202c34c5bf5bd485ffef182789e059816230ba3527a7df5482d1d29a965b
Producto,39,"Componentes, Accesorios y Suministros de Sistemas Eléctricos e Iluminación",7a9d53879c78af97873ee1abc0095f2c3c1e042464aafe87489cb937f1efd079
Producto,40,Componentes y Equipos para Distribución y Sistemas de Acondicionamiento,e7f49040e980f292af7f2ed536ac02350abfc97c1d7b2c12aea09be6d99f260f
Producto,41,"Equipos y Suministros de Laboratorio, de Medición, de Observación y de Pruebas",7f017f845f484333ffcceacdc27ed38173cfee25c90dd5dad7d128848fea689c
Producto,42,"Equipo Médico, Accesorios y Suministros",a197e324bbec2cb3640337c842ff1b1662bf91c6ae8b21472bd52435260e89f2
Producto,43,Difusión de Tecnologías de Información y Telecomunicaciones,2950b70cf93ecb5dcbe18a36527615c38a8407b5f58ce603e7a6682caff040e4
Producto,44,"Equipos de Oficina, Accesorios y Suministros",7619b0940e9f48f1ce5d7e471cf1263069b36aba6779e64343bfed0092b5aeef
Producto,45,"Equipos y Suministros para Impresión, Fotografia y Audiovisuales",cbe5c593aedc60302550f141f88328b191d23f0a268e130283b215021a90290b
Producto,46,"Equipos y Suministros de Defensa, Orden Publico, Proteccion, Vigilancia y Seguridad",a32349c29a336b8b5912dc02b28f0fb27031a53bc6a8b844b11733a0e3ef59f2
Producto,47,Equipos de Limpieza y Suministros,000e0950273f33ce4bca1944090aabff91639b1e98899eeaab8d1dc75a49e0a5
Producto,48,"Maquinaria, Equipo y Suministros para la Industria de Servicios",3be1fe548e2d70de79eefc349fdef2e2a0330c3b4f530b2c6fc6456e35fcf5f0
Producto,49,"Equipos, Suministros y Accesorios para Deportes y Recreación",c18b78af4f16f91257a92f5469e708042aae60f71e868f4d9b82cef59584956a
Producto,50,"Alimentos, Bebidas y Tabaco",10acb07c1e3541c56d160ad15ef6492a83c469a46185fd8f3adecad712faba89
Producto,51,Medicamentos y Productos Farmacéuticos,0f31edc2c19660ba16504ff32e32be13b4bf43869d02232fa0c00f7bdf2b971a
Producto,52,"Artículos Domésticos, Suministros y Productos Electrónicos de Consumo",c1a245b9b707c3fdbae91469a9954e8c52cb6a166c364dff6ac8dd0030a4adee
Producto,53,"Ropa, Maletas y Productos de Aseo Personal",c137967083d9ec1ca7c11deff5c13271a9438b373e12fe2c6fb13e0cc96af006
Producto,54,"Productos para Relojería, Joyería y Piedras Preciosas",6dad0a3f3146fee3f6d3089f3478ce8dacbb2272e60a7aa0d16e9a81c9367a2d
Producto,55,"Publicaciones Impresas, Publicaciones Electrónicas y Accesorios",15eca4b7360c74e3649390ab0143db6bf15836b7dec04494b238d19d6733ac59
Producto,56,"Muebles, Mobiliario y Decoración",fdbdc307e770131dca196836fbe675887e1eb7dca297ce2b42919d0bae80f7ff
Producto,60,"Instrumentos Musicales, Juegos, Juguetes, Artes, Artesanías y Equipo educativo, Materiales, Accesorios y Suministros",e963f42ef9ec627f2981cf88b794d6aa00c1c6c3f9c6e2654b2197ec6fe61028
Producto,64,"Instrumentos financieros, productos, contratos y acuerdos",da9ed0cbfd4b416eb881e692676794277d7af079a473131adb9624b5558c307f
Producto,95,"Terrenos, Edificios, Estructuras y Vías",5a3f2bdf81d8aef17f62b8ac2103e20edf5ce5bd2a3870c430e651df0259097b
Servicio,70,"Servicios de Contratación Agrícola, Pesquera, Forestal y de Fauna",ba6c0ab0a1372a27071fb634b0803336a7bec18fa997871b1b7f34d49e4f4b90
Servicio,71,"Servicios de Minería, Petróleo y Gas",6125bd2c8f07386d01eb9da820f0a5a6793ed112157675a7b64fb2909c61c1bb
Servicio,72,"Servicios de Edificación, Construcción de Instalaciones y Mantenimiento",fd10b9e6a77118c9a9d1ec88bb4b12c1cdeeb8f06c2e630b9995e0d446b39680
Servicio,73,Servicios de Producción Industrial y Manufactura,887df60bd345be1ac305b10ce2be0bd0ada9f4fc0fddb61ef7c6eeb55692f74f
Servicio,76,"Servicios de Limpieza, Descontaminación y Tratamiento de Residuos",80c747df534a45e2e3fd2987e33e4e41ff1bea9b78c6891348699a6011a43968
Servicio,77,Servicios Medioambientales,27d7ee90e493d52fbdf0d817f2f9ed4dc5315a529a13c4c40f9cb0a6857e5517
Servicio,78,"Servicios de Transporte, Almacenaje y Correo",7a34456b973d0389671535959ac52ca59a4b73047ebeed43c12cc407196065a6
Servicio,80,"Servicios de Gestión, Servicios Profesionales de Empresa y Servicios Administrativos",079e5409848d66a9f91a2655e90720701dde7ab87a39c04eca5f504833308ef2
Servicio,81,"Servicios Basados en Ingeniería, Investigación y Tecnología",d53a3a36ac00161b3a139dbc5a9d4280bccda4a11538acd928c93c6bf2d43b4b
Servicio,82,"Servicios Editoriales, de Diseño, de Artes Graficas y Bellas Artes",004853760f7700369a63c7da1088d92f4477447e73630ab867719dd3b81a0810
Servicio,83,Servicios Públicos y Servicios Relacionados con el Sector Público,2025bb182fc3b31c37e2f4b3655a360cab3a958b0c43858718d098c7e3607381
Servicio,84,Servicios Financieros y de Seguros,cc40dcb71d73708b470ba3c6faccd28a3362764a44b9885ef24087599244b846
Servicio,85,Servicios de Salud,05f5ce2f82069977f9feac02a2220f51e3cfa15b5f95bc77bd95e267ca933e92
Servicio,86,Servicios Educativos y de Formación,01c55bf574faf26938751062e1e4becfa9b76d15d8acd7fd409af34409b48d1b
Servicio,90,"Servicios de Viajes, Alimentación, Alojamiento y Entretenimiento",1086ad2c321e5a0ead90f6282357f30dbd451a1acfee162c9956ff3f2ee14675
Servicio,91,Servicios Personales y Domésticos,212b3be9e354a639f2b04667914cda9a62897da768010daf06e219703cca1bf2
Servicio,92,"Servicios de Defensa Nacional, Orden Publico, Seguridad y Vigilancia",aa6aa103e3b55db72304018e50aa4d0a9f92963c71607db6f1ce248e98febb1b
Servicio,93,Servicios Políticos y de Asuntos Cívicos,096889b642c444477557eaa78869201ffef2ebcb1a68cf8b8baf2ab70d074d5b
Servicio,94,Organizaciones y Clubes,60e2c5311db861197cfaab37860ae9075d438c7d21dc078c99932ef0a829ac0a
